Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,11.2,,,23.8,,,26.5,,,28.8,,,31.0,,,14.5
1983,,,11.3,,,19.0,,,24.6,,,28.8,,,26.5,,,6.1
1984,,,14.6,,,16.3,,,20.6,,,23.3,,,26.0,,,16.0
1985,,,16.0,,,17.1,,,22.6,,,25.9,,,22.5,,,4.3
1986,,,7.6,,,14.2,,,19.3,,,18.8,,,17.1,,,1.3
1987,,,7.1,,,14.9,,,16.1,,,17.3,,,10.3,,,0.0
1988,,,8.6,,,13.6,,,15.8,,,21.1,,,16.8,,,0.3
1989,,,8.1,,,14.6,,,17.8,,,21.1,,,14.1,,,0.0
1990,,,0.0,,,15.0,,,25.1,,,26.2,,,20.5,,,6.1
1991,,,9.1,,,12.9,,,12.9,,,17.9,,,18.6,,,1.0
1992,,,8.5,,,11.8,,,14.4,,,11.7,,,4.5,,,0.0
1993,,,12.0,,,16.7,,,17.5,,,17.9,,,14.5,,,0.0
1994,,,7.5,,,11.4,,,18.5,,,20.7,,,14.0,,,0.0
1995,,,15.5,,,20.7,,,22.7,,,24.5,,,23.8,,,1.2
1996,,,5.9,,,11.9,,,15.6,,,17.5,,,15.0,,,1.3
1997,,,30.4,,,41.3,,,45.9,,,40.3,,,40.2,,,14.0
1998,,,5.8,,,14.6,,,20.0,,,21.5,,,18.2,,,2.5
1999,,,11.3,,,18.1,,,29.7,,,35.1,,,33.0,,,20.6
2000,,,5.4,,,15.2,,,20.9,,,25.1,,,18.4,,,2.5
2001,,,5.9,,,8.2,,,10.5,,,11.9,,,11.1,,,0.0
2002,,,11.2,,,18.3,,,21.4,,,28.0,,,22.7,,,8.2
2003,,38,8.0,,39,12.0,,45,12.8,,48,17.6,,38,15.2,,0,0.0
2004,,43,9.5,,61,16.9,,64,19.5,,58,21.8,,33,13.0,,0,0.0
2005,,11,2.6,,6,2.4,,7,2.8,,17,4.1,,1,0.0,,0,0.0
2006,,39,9.6,,69,20.5,,71,24.2,,,27.3,,,22.7,,8,4.3
2007,,46,12.0,,53,16.5,,79,22.3,,49,20.9,,32,16.5,,0,0.0
2008,,45,10.0,,80,18.3,,72,25.7,,83,29.5,,72,29.7,,27,13.5
2009,,48,10.4,,44,13.9,,55,17.0,,77,24.7,,57,23.3,,17,8.7
2010,,29,7.9,,40,11.6,,48,13.5,,52,16.5,,43,17.0,,17,7.6
2011,,44,11.2,,35,12.6,,69,17.2,,75,22.5,,78,23.4,,46,13.8
2012,,23,9.2,,54,19.1,,72,26.0,,93,34.4,,61,28.4,,25,12.1
2013,,47,12.2,,49,15.5,,64,19.3,,52,21.3,,43,18.5,,0,0.0
2014,,8,2.9,,24,8.7,,63,19.6,,59,23.4,,48,20.4,,0,0.0
2015,,18,4.7,,16,6.2,,17,6.2,,7,3.3,,0,0.0,,0,0.0
2016,,49,12.9,,60,19.2,,58,22.1,,67,27.4,,37,17.7,,0,0.0
2017,,39,9.4,,45,13.6,,69,20.3,,70,26.5,,62,26.1,,18,7.5
2018,,26,7.0,,47,14.2,,62,17.5,,56,20.1,,43,17.1,,0,0.0
2019,,26,7.4,,38,10.6,,60,15.9,,48,16.7,,32,12.4,,0,0.0
2020,,13,4.6,,48,15.3,,61,19.8,,66,22.6,,37,16.0,,0,0.0
2021,,33,10.2,,46,16.5,,84,29.4,,78,32.5,,53,25.8,,9,2.5
2022,,38,10.2,,42,17.4,,43,18.4,,42,18.5,,56,24.6,,30,13.9
2023,,30,10.8,,41,14.4,,59,18.8,,66,24.3,,48,22.1,,0,0.0
2024,,22,7.7,,42,16.7,,56,20.4,,56,22.7,,38,17.2,,0,0.0
